日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值
2026-01-19,=60.5000,=60.5000,=60.5000,=60.5000,=209495129002.5001,=125552468003.0,=52620981847.5,,=24.4360,,,,
2026-01-16,=64.1100,=64.1100,=64.1100,=64.1100,=221995582154.5501,=133044111135.0,=55760845392.45,,=25.8941,,,,
2026-01-15,=62.0000,=62.0000,=62.0000,=62.0000,=214689223110.0001,=128665339110.0,=53925634290.0,,=25.0418,,,,
2026-01-14,=59.8000,=59.8000,=59.8000,=59.8000,=207071218419.0001,=124099794819.0,=52012144041.0,,=24.1532,,,,
2026-01-13,=57.2100,=57.2100,=57.2100,=57.2100,=198102749260.0501,=118724904040.0,=49759444156.95,,=23.1071,,,,
2026-01-12,=56.0200,=56.0200,=56.0200,=56.0200,=193982101268.1001,=116255359628.0,=48724419885.9,,=22.6265,,,,
2026-01-09,=56.5000,=56.5000,=56.5000,=56.5000,=195644211382.5001,=117251478383.0,=49141908667.5,,=22.8204,,,,
2026-01-08,=55.0300,=55.0300,=55.0300,=55.0300,=190553999157.1501,=114200864697.0,=47863349273.85,,=22.2266,,,,
2026-01-07,=55.2800,=55.2800,=55.2800,=55.2800,=191419681508.4001,=114719676548.0,=48080791347.6,,=22.3276,,,,
2026-01-06,=56.9700,=56.9700,=56.9700,=56.9700,=197271694202.8501,=118226844663.0,=49550699766.15,,=23.0102,,,,
2026-01-05,=54.3000,=54.3000,=54.3000,=54.3000,=188026206691.5,=112685934092.0,=47228418418.5,,=21.9318,,,,
2025-12-31,=54.9200,=54.9200,=54.9200,=54.9200,=190173098922.6001,=113972587483.0,=47767674761.4,,=22.1822,,,,
2025-12-30,=50.2500,=50.2500,=50.2500,=50.2500,=174002152601.2501,=104281182101.0,=43705856823.75,,=20.2960,,,,
2025-12-29,=48.9900,=48.9900,=48.9900,=48.9900,=169639113550.9501,=101666370371.0,=42609948772.05,,=19.7871,,,,
2025-12-26,=48.3100,=48.3100,=48.3100,=48.3100,=167284457555.5501,=100255202136.0,=42018506331.45,,=19.5124,,,,
2025-12-25,=43.9200,=43.9200,=43.9200,=43.9200,=152083075467.6001,=91144866028.0,=38200223516.4,,=17.7393,,,,
2025-12-24,=43.1000,=43.1000,=43.1000,=43.1000,=149243637355.5001,=89443163156.0,=37487013514.5,,=17.4081,,,,
2025-12-23,=42.0800,=42.0800,=42.0800,=42.0800,=145711653362.4,=87326410802.0,=36599849853.6,,=16.9961,,,,
2025-12-22,=42.5800,=42.5800,=42.5800,=42.5800,=147443018064.9,=88364034505.0,=37034734001.1,,=17.1981,,,,
2025-12-19,=41.8500,=41.8500,=41.8500,=41.8500,=144915225599.25,=86849103899.0,=36399803145.75,,=16.9032,,,,
2025-12-18,=41.0100,=41.0100,=41.0100,=41.0100,=142006532899.05,=85105896079.0,=35669197777.95,,=16.5640,,,,
2025-12-17,=41.3700,=41.3700,=41.3700,=41.3700,=143253115484.8501,=85852985145.0,=35982314364.15,,=16.7094,,,,
2025-12-16,=40.5600,=40.5600,=40.5600,=40.5600,=140448304666.8001,=84172034747.0,=35277802045.2,,=16.3822,,,,
2025-12-15,=41.1600,=41.1600,=41.1600,=41.1600,=142525942309.8,=85417183190.0,=35799663022.2,,=16.6245,,,,
2025-12-12,=41.6600,=41.6600,=41.6600,=41.6600,=144257307012.3,=86454806892.0,=36234547169.7,,=16.8265,,,,
2025-12-11,=41.1800,=41.1800,=41.1800,=41.1800,=142595196897.9,=85458688138.0,=35817058388.1,,=16.6326,,,,
2025-12-10,=42.3900,=42.3900,=42.3900,=42.3900,=146785099477.9501,=87969737498.0,=36869478025.05,,=17.1213,,,,
2025-12-09,=42.0300,=42.0300,=42.0300,=42.0300,=145538516892.1501,=87222648432.0,=36556361438.85,,=16.9759,,,,
2025-12-08,=44.7400,=44.7400,=44.7400,=44.7400,=154922513579.7001,=92846568900.0,=38913433518.3,,=18.0705,,,,
2025-12-05,=43.3200,=43.3200,=43.3200,=43.3200,=150005437824.6001,=89899717585.0,=37678362539.4,,=17.4970,,,,
2025-12-04,=41.1100,=41.1100,=41.1100,=41.1100,=142352805839.5501,=85313420820.0,=35756174607.45,,=16.6043,,,,
2025-12-03,=40.4700,=40.4700,=40.4700,=40.4700,=140136659020.3501,=83985262480.0,=35199522898.65,,=16.3458,,,,
2025-12-02,=40.4600,=40.4600,=40.4600,=40.4600,=140102031726.3001,=83964510006.0,=35190825215.7,,=16.3418,,,,
2025-12-01,=40.8600,=40.8600,=40.8600,=40.8600,=141487123488.3001,=84794608968.0,=35538732533.7,,=16.5034,,,,
2025-11-28,=37.4300,=37.4300,=37.4300,=37.4300,=129609961629.1501,=77676510369.0,=32555427281.85,,=15.1180,,,,
2025-11-27,=37.2800,=37.2800,=37.2800,=37.2800,=129090552218.4001,=77365223258.0,=32424962037.6,,=15.0574,,,,
