日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值
2026-07-07,=5.3900,=5.3900,=5.3900,=5.3900,=154686877434.32,=131126831479.0,=52499784711.22,,=0.8822,,,,
2026-07-06,=5.4400,=5.4400,=5.4400,=5.4400,=156121820638.72,=132343221381.0,=52986795701.12,,=0.8904,,,,
2026-07-03,=5.3600,=5.3600,=5.3600,=5.3600,=153825911511.68,=130396997537.0,=52207578117.28,,=0.8773,,,,
2026-07-02,=5.3300,=5.3300,=5.3300,=5.3300,=152964945589.04,=129667163596.0,=51915371523.34,,=0.8724,,,,
2026-07-01,=5.3100,=5.3100,=5.3100,=5.3100,=152390968307.28,=129180607635.0,=51720567127.38,,=0.8691,,,,
2026-06-30,=5.2000,=5.2000,=5.2000,=5.2000,=149234093257.6,=126504549850.0,=50649142949.6,,=0.8511,,,,
2026-06-29,=5.2800,=5.2800,=5.2800,=5.2800,=151530002384.64,=128450773693.0,=51428360533.44,,=0.8642,,,,
2026-06-26,=5.2200,=5.2200,=5.2200,=5.2200,=149808070539.36,=126991105811.0,=50843947345.56,,=0.8544,,,,
2026-06-25,=5.3100,=5.3100,=5.3100,=5.3100,=152390968307.28,=129180607635.0,=51720567127.38,,=0.8691,,,,
2026-06-24,=5.2600,=5.2600,=5.2600,=5.2600,=150956025102.88,=127964217732.0,=51233556137.48,,=0.8609,,,,
2026-06-23,=5.4300,=5.4300,=5.4300,=5.4300,=155834831997.84,=132099943401.0,=52889393503.14,,=0.8888,,,,
2026-06-22,=5.6700,=5.6700,=5.6700,=5.6700,=162722559378.96,=137938614932.0,=55227046254.66,,=0.9280,,,,
2026-06-18,=5.6000,=5.6000,=5.6000,=5.6000,=160713638892.8,=136235669069.0,=54545230868.8,,=0.9166,,,,
2026-06-17,=5.7300,=5.7300,=5.7300,=5.7300,=164444491224.24,=139398282815.0,=55811459442.54,,=0.9379,,,,
2026-06-16,=5.7200,=5.7200,=5.7200,=5.7200,=164157502583.36,=139155004835.0,=55714057244.56,,=0.9362,,,,
